CodigoReferenciaSKU;URL da imagem
ACRSV02;spaturbo.vteximg.com.br/arquivos/ids/174556/ACRSV02--3-.jpg
ACRSV02;spaturbo.vteximg.com.br/arquivos/ids/174557/ACRSV02--2-.jpg
ACRSV03;spaturbo.vteximg.com.br/arquivos/ids/155452/ACRSV03-20-283-29.jpg
ACRSV03;spaturbo.vteximg.com.br/arquivos/ids/155453/ACRSV03-20-285-29.jpg
ACRSV04;spaturbo.vteximg.com.br/arquivos/ids/174558/ACRSV04--3-.jpg
ACRSV04;spaturbo.vteximg.com.br/arquivos/ids/174559/ACRSV04--4-.jpg
ACRSV06;spaturbo.vteximg.com.br/arquivos/ids/155456/ACRSV06-20-282-29.jpg
ACRSV06;spaturbo.vteximg.com.br/arquivos/ids/155457/ACRSV06-20-283-29.jpg
ACRSV13;spaturbo.vteximg.com.br/arquivos/ids/155460/ACRSV13-20-281-29.jpg
ACRSV13;spaturbo.vteximg.com.br/arquivos/ids/155461/ACRSV13.jpg
ACRSV14;spaturbo.vteximg.com.br/arquivos/ids/162150/ACRSV14--1-.jpg
ACSLR01;spaturbo.vteximg.com.br/arquivos/ids/182820/ACSLR01.jpg
ACSLR01;spaturbo.vteximg.com.br/arquivos/ids/182821/ACSLR01-Soleira-Esportiva-SPA-2.jpg
ACSLR02;spaturbo.vteximg.com.br/arquivos/ids/155468/ACSLR02-20-285-29.jpg
ACSLR02;spaturbo.vteximg.com.br/arquivos/ids/176305/ACSLR02--5--L-1000x1000.jpg
ACSLR02;spaturbo.vteximg.com.br/arquivos/ids/176306/ACSLR02--6--1000x1000.jpg
ACSLR02;spaturbo.vteximg.com.br/arquivos/ids/176307/ACSLR02--3-.jpg
ACSLR02;spaturbo.vteximg.com.br/arquivos/ids/176308/ACSLR02--2-.jpg
ACTERSPCX02;spaturbo.vteximg.com.br/arquivos/ids/174560/ACTERSPCX02.jpg
CMBACTE037;spaturbo.vteximg.com.br/arquivos/ids/174678/ACTERSFB02_ab-ML.jpg
CMBACTE037;spaturbo.vteximg.com.br/arquivos/ids/174679/fita-natural.jpg
CMBACTE037;spaturbo.vteximg.com.br/arquivos/ids/190788/ACTERSFB02--1-.jpg
CMBACTE037;spaturbo.vteximg.com.br/arquivos/ids/190789/ACTERSFB02--2-.jpg
CMBACTE089;spaturbo.vteximg.com.br/arquivos/ids/174609/ACTERSFB03_ab_ML.jpg
CMBACTE089;spaturbo.vteximg.com.br/arquivos/ids/174610/fita-natural.jpg
CMBACTE089;spaturbo.vteximg.com.br/arquivos/ids/190778/ACTERSFB03--1-.jpg
CMBACTE089;spaturbo.vteximg.com.br/arquivos/ids/190779/ACTERSFB03--2-.jpg
ACTERM12;spaturbo.vteximg.com.br/arquivos/ids/155473/ACTERM12.jpg
ACTERSPCX03;spaturbo.vteximg.com.br/arquivos/ids/216499/ACTERSPCX04.jpg
