;;;ML VELHA;;ML NOVA;;;;B2B - 1;B2B - 2;B2B - 3
;;100%;100%;95%;100%;95%;;B2C;15%;20%;30%
SKU;Descrição do Produto;Preço VTEX;Premium;Clássico;Premium;Clássico;Maior Preço;Menor Preço;Desconto;Desconto;Desconto
.;Coletor Escape Turbo Pulsativo Turbina P/ Cima Vw/Audi (1.8L/20V) - Transversais (AGU/AUM) + PRISIONEIROS CABEÇOTE FORJADOS 125MM - 10 UNIDADES; R$ 8.966.005,00 ;  ;  ;  ;  ; R$ 8.966.005,00 ; R$ 8.966.005,00 ; R$ 7.621.104,25 ; R$ 7.172.804,00 ; R$ 6.276.203,50 
...;Kit turbo para VW Golf MK4 / Bora / Polo / New Beetle 1.6 SR / 2.0 8V fluxo cruzado; R$ 1.000.000,00 ;  ;  ;  ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
.....;Retífica Plana Manual Kent Sgs-816mr Em Ótimo Estado; R$ 153.805,00 ;  ;  ;  ;  ; R$ 153.805,00 ; R$ 153.805,00 ; R$ 130.734,25 ; R$ 123.044,00 ; R$ 107.663,50 
......;Kit turbo para VW Golf MK4 / Bora / Polo / New Beetle 1.6 SR / 2.0 8V fluxo cruzado; R$ 1.000.000,00 ;  ;  ;  ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
.9;4 Giclês principais (MEDIDA 100) para carburador Solex 2E/3E Brosol; R$ 33.155,00 ;  ;  ;  ;  ; R$ 33.155,00 ; R$ 33.155,00 ; R$ 28.181,75 ; R$ 26.524,00 ; R$ 23.208,50 
[CMBMV2024JG044];GOL WEEK - Kit forjado AP 2.0 turbo: PISTÃO CÔNCAVO FORJADO - SPA LINHA SUPER A COM PINOS 63,45X20MM E TRAVAS + Aneis; R$ 1.555.055,00 ;  ;  ;  ;  ; R$ 1.555.055,00 ; R$ 1.555.055,00 ; R$ 1.321.796,75 ; R$ 1.244.044,00 ; R$ 1.088.538,50 
[CMBMVSSSU40V201];GOL WEEK - Kit forjado AP 2.0 turbo: PISTÃO CÔNCAVO FORJADO - SPA LINHA SUPER A COM PINOS 63,45X20MM E TRAVAS + Aneis; R$ 1.555.055,00 ;  ;  ;  ;  ; R$ 1.555.055,00 ; R$ 1.555.055,00 ; R$ 1.321.796,75 ; R$ 1.244.044,00 ; R$ 1.088.538,50 
0650;"Coletor de escape para turbo Fiat Sevel + FITA TÉRMICA TITANIUM SPA 2"" 5M - GRÁTIS 4 ABRAÇADEIRAS ZIP INOX"; R$ 283.955,00 ;  ;  ;  ;  ; R$ 283.955,00 ; R$ 283.955,00 ; R$ 241.361,75 ; R$ 227.164,00 ; R$ 198.768,50 
1;Cabo de vela de silicone 10.4mm SPA para VW AP SEM pino Copy; R$ 110.105,00 ;  ;  ;  ;  ; R$ 110.105,00 ; R$ 110.105,00 ; R$ 93.589,25 ; R$ 88.084,00 ; R$ 77.073,50 
1.5;"Par Mangueira de Pressurização de Silicone SPA reta 2"" x 76mm - Fluorescente"; R$ 33.155,00 ;  ;  ;  ;  ; R$ 33.155,00 ; R$ 33.155,00 ; R$ 28.181,75 ; R$ 26.524,00 ; R$ 23.208,50 
11;Cabo de vela de silicone 10.4mm SPA para VW AP SEM pino Copy; R$ 110.105,00 ;  ;  ;  ;  ; R$ 110.105,00 ; R$ 110.105,00 ; R$ 93.589,25 ; R$ 88.084,00 ; R$ 77.073,50 
12345;Travas de engate rápido universais Quik Latch (par) - preta; R$ 1.000.000,00 ;  ;  ;  ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
1489.;kit forjado Vw AP 2.0 turbo: Pistões Cônc. + Bielas Basic 144M 1100cv + Anéis + Pinos + Travas (Confira Especificações); R$ 4.035.505,00 ;  ;  ;  ;  ; R$ 4.035.505,00 ; R$ 4.035.505,00 ; R$ 3.430.179,25 ; R$ 3.228.404,00 ; R$ 2.824.853,50 
2.;Kit Bimmer Turbo: Coletor Escape Turbo E36/E46 + Turbina .70 SPA700 T4+Alavanca de Freio de Mão Hidráulico; R$ 4.249.255,00 ;  ;  ;  ;  ; R$ 4.249.255,00 ; R$ 4.249.255,00 ; R$ 3.611.866,75 ; R$ 3.399.404,00 ; R$ 2.974.478,50 
23;Kit Turbo GM Chevrolet Opala / Caravan 6 cil 4.1 - (SEM TURBINA) + GRÁTIS Cabo de vela silicone SPA 10.4mm - SEM PINO; R$ 2.012.005,00 ;  ;  ;  ;  ; R$ 2.012.005,00 ; R$ 2.012.005,00 ; R$ 1.710.204,25 ; R$ 1.609.604,00 ; R$ 1.408.403,50 
3545-AI-80-60;Porta Molde Padrão Lkm 3545-ai-80-60 Em Aço Aisi 1050;  ;  ;  ; R$ 1.000.000,00 ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
4020SI;Eletroerosão A Fio Cnc Charmilles Tech Robofil 4020si;  ;  ;  ; R$ 200.000,00 ;  ; R$ 200.000,00 ; R$ 200.000,00 ; R$ 170.000,00 ; R$ 160.000,00 ; R$ 140.000,00 
4040-AI-80-60;Porta Molde Padrão Lkm 4040-ai-80-60 Em Aço Aisi 1050;  ;  ;  ; R$ 1.000.000,00 ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
42,3;Kit Forjado Vw 1.8 AP: Pistão + Biela 144mm Basic 1100cv + Pinos + Travas + Anéis; R$ 4.899,05 ;  ;  ;  ;  ; R$ 4.899,05 ; R$ 4.899,05 ; R$ 4.164,19 ; R$ 3.919,24 ; R$ 3.429,34 
44444444444;Tampa de radiador com termômetro de temperatura da água (0,9bar) - Modelo Alto - Sem uso, perfeito estado.; R$ 54.055,00 ;  ;  ;  ;  ; R$ 54.055,00 ; R$ 54.055,00 ; R$ 45.946,75 ; R$ 43.244,00 ; R$ 37.838,50 
4545-AI-90-60;Porta Molde Padrão Lkm 4545-ai-90-60 Em Aço Aisi 1050;  ;  ;  ; R$ 1.000.000,00 ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
5;Bocal / Respiro do óleo curvo Fusca e derivados motor VW refrigerado a ar em alumínio; R$ 8.966.005,00 ;  ;  ;  ;  ; R$ 8.966.005,00 ; R$ 8.966.005,00 ; R$ 7.621.104,25 ; R$ 7.172.804,00 ; R$ 6.276.203,50 
5050-AI-80-60;Porta Molde Padrão Lkm 5050-ai-80-60 Em Aço Aisi 1050;  ;  ;  ; R$ 1.000.000,00 ;  ; R$ 1.000.000,00 ; R$ 1.000.000,00 ; R$ 850.000,00 ; R$ 800.000,00 ; R$ 700.000,00 
5464565465;Kit Teste - Não excluir - DEV; R$ 693.405,00 ;  ;  ;  ;  ; R$ 693.405,00 ; R$ 693.405,00 ; R$ 589.394,25 ; R$ 554.724,00 ; R$ 485.383,50 
55.;Cabo de vela de silicone 10.4mm SPA para VW AP SEM pino Copy; R$ 110.105,00 ;  ;  ;  ;  ; R$ 110.105,00 ; R$ 110.105,00 ; R$ 93.589,25 ; R$ 88.084,00 ; R$ 77.073,50 
60-310313-01;Reservatório de respiro de óleo (Catch Can) em alumínio billet para Mini Cooper R60 Countryman; R$ 1.435.355,00 ; R$ 1.510,90 ; R$ 1.435,36 ;  ;  ; R$ 1.435.355,00 ; R$ 1.435,36 ; R$ 1.220,06 ; R$ 1.148,29 ; R$ 1.004,75 
